TURRET_NR,TYPE,RIJ,START,GEREED
50,D,208,10/27/2016 13:56,10/27/2016 14:09
28,P 0,224,10/24/2016 14:59,10/24/2016 15:00
28,P 0,224,10/24/2016 15:01,10/24/2016 15:02
27,P 0,239,10/24/2016 15:20,10/24/2016 15:20
6,ZO 0,138,10/24/2016 14:56,10/24/2016 14:56
9,ZO 0,112,10/24/2016 14:46,10/24/2016 14:48
21,P 0,217,10/24/2016 14:43,10/24/2016 14:44
6,ZO 0,139,10/24/2016 14:47,10/24/2016 14:47
2,ZO 0,123,10/24/2016 14:48,10/24/2016 14:51
21,ZO 0,202,10/24/2016 14:56,10/24/2016 14:57
10,ZO 0,116,10/24/2016 14:43,10/24/2016 14:45
8,ZO 0,126,10/24/2016 14:48,10/24/2016 14:51
